country,density,population,area
Togo,156,8848.6990,56785
Tonga,148,106.8580,747
Trinidad and Tobago,274,1531.0440,5130
Tunisia,77,12356.1170,163610
Turkey,110,85341.2410,783562
Turkmenistan,13,6430.7700,488100
Turks and Caicos Islands,41,45.7030,948
Tuvalu,398,11.3120,26
Uganda,235,47249.5850,241550
Ukraine,76,39701.7390,603500
United Arab Emirates,141,9441.1290,83600
United Kingdom,278,67508.9360,242900
United States,36,338289.8570,9372610
Uruguay,20,3422.7940,181034
Uzbekistan,79,34627.6520,447400
Vanuatu,26,326.7400,12189
Venezuela,33,28301.6960,916445
Vietnam,317,98186.8560,331212
Yemen,58,33696.6140,527968
Zambia,25,20017.6750,752612
Zimbabwe,39,16320.5370,390757
